what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517358998987
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1517358999019
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1517359007930
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1517359007992
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1517359081866
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1517359086909
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1517359092823
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1517359093064
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1517359111212
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1517359125790
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517359126710
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1517359129420
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517359130474
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517359143620
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1517359159375
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517359161081
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517359162364
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517359162692
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517359723936
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517359732919
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1517359745164
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1517359748633
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517359751424
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517359752349
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517359752427
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517359752646
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1517359752693
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1517359755645
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1517359759201
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1517359759248
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1517359761379
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1517359761379
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517359762051
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517359771769
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1517359779140
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517359830963
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517359835244
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517359840234
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517359855900
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517359856714
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517359864957
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517359869759
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517359914901
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517359928240
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1517359948355
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517359950222
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517359952149
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517360095000
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517360142864
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517360162921
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517360169597
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517360170809
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517360171696
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517360182429
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1517360185106
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1517360188163
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517360191682
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517360192393
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1517360192439
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1517360192627
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1517360192669
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517360194241
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517360197017
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1517360200281
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1517360200281
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1517360203250
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517360227870
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517360231902
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517360239237
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517360239808
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517360241853
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517360253956
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517360255883
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517360260280
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517360265245
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517360268299
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517360269032
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517360271199
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517360293093
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517360310073
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517360317390
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517360334960
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1517360875663
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1517360897754
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517361052160
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517361336034
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517361346239
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517361362037
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517361364473
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517361370301
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517361379172
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517361379939
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517361384707
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517361385866
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517361386598
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517361392196
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517361395921
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1517361420219
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517361435722
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517361461791
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517361462394
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517361469392
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1517361472696
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1517361490649
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1517361496346
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517361497989
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517361507389
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517361509562
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517361520756
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1517361546952
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517361550352
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517361551372
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517361560469
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517361564277
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517361568119
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1517361574629
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1517361579330
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517361614783
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517361619777
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517361621135
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517361622362
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517361885749
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517361895464
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517361898209
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517361902352
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517361910202
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517361912342
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517361951357
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517361952389
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517362062819
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1517362065856
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1517362069281
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1517362076740
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517362087699
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517362088765
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517362132572
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517362146144
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517362147196
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517362148702
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517362151463
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517362152266
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517363335930
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517363340153
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517363351038
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517363353739
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517363370512
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517363373404
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517364148348
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517364155868
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517364158488
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517364203067
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517364214645
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517364228056
